Nom,Début,Fin,Lieu,Description
Electronique,2021-11-30 13:00:00+00:00,2021-11-30 16:00:00+00:00,RT-Labo Electronique 1,"

RT1Shannon1
RT1Shannon2
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-07 08:15:00+00:00,2021-09-07 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-08 06:15:00+00:00,2021-10-08 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-18 09:15:00+00:00,2022-02-18 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Administration Windows Server,2021-10-12 11:30:00+00:00,2021-10-12 15:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Communication,2021-09-15 06:15:00+00:00,2021-09-15 08:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-08 11:30:00+00:00,2021-10-08 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-14 06:15:00+00:00,2021-09-14 10:15:00+00:00,GC-ISAT R10 Info petite,"

RT1Shannon2
RT1Shannon1
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
DS Matrices et graphes,2021-10-22 11:30:00+00:00,2021-10-22 13:30:00+00:00,RT-Amphi,"

RT2-S3
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-09 13:00:00+00:00,2021-11-09 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-13 08:15:00+00:00,2021-09-13 10:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2022-01-06 12:30:00+00:00,2022-01-06 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-29 06:15:00+00:00,2021-10-29 08:15:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-15 12:00:00+00:00,2021-09-15 15:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-07 13:00:00+00:00,2021-12-07 17:00:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-10 08:15:00+00:00,2021-09-10 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-12 08:15:00+00:00,2021-10-12 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-12 14:30:00+00:00,2021-11-12 16:30:00+00:00,RT-Amphi,"

RT1-S1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-12 06:15:00+00:00,2021-10-12 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2021-12-10 12:30:00+00:00,2021-12-10 15:30:00+00:00,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-10-01 06:15:00+00:00,2021-10-01 08:15:00+00:00,GC-ISAT R12 Info grande,"

RT1Huffman
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
LINUX,2022-01-10 07:15:00+00:00,2022-01-10 11:00:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-04 13:00:00+00:00,2022-01-04 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-10-01 11:30:00+00:00,2021-10-01 14:30:00+00:00,RT-Labo Informatique 2,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Management de projet (Etude de Cas),2022-01-13 07:15:00+00:00,2022-01-13 11:00:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-15 07:15:00+00:00,2021-11-15 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-07 15:00:00+00:00,2021-12-07 17:00:00+00:00,RT-Labo Informatique 1,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
MANAGEMENT DE PROJET,2022-02-09 07:15:00+00:00,2022-02-09 11:00:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
HENNEBELLE FRANCOIS
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-09-27 08:15:00+00:00,2021-09-27 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Administration Windows Server,2021-10-13 06:15:00+00:00,2021-10-13 10:00:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-24 11:30:00+00:00,2021-09-24 15:30:00+00:00,BIBLIOTHEQUE UNIVERSITAIRE OU TEAMS,"

RT1App
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2021-12-08 08:15:00+00:00,2021-12-08 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-13 14:00:00+00:00,2021-10-13 16:00:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-09-29 08:15:00+00:00,2021-09-29 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-15 12:00:00+00:00,2021-09-15 16:00:00+00:00,RT-Labo reseaux 1,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
BDD : MODELE RELATIONNEL,2021-12-06 07:15:00+00:00,2021-12-06 11:00:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs SM,2021-10-19 06:15:00+00:00,2021-10-19 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-12-09 14:30:00+00:00,2021-12-09 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-25 09:15:00+00:00,2021-11-25 11:15:00+00:00,"RT-Labo Informatique 1,TEAMS","

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
TP Solutions métier,2022-02-07 14:30:00+00:00,2022-02-07 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-05 12:00:00+00:00,2021-10-05 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-09 09:15:00+00:00,2021-11-09 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-18 12:30:00+00:00,2022-02-18 16:30:00+00:00,RT-Labo reseaux 2,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2022-01-04 08:15:00+00:00,2022-01-04 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-11-30 07:15:00+00:00,2021-11-30 11:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-14 08:15:00+00:00,2021-09-14 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-21 07:15:00+00:00,2021-10-21 10:15:00+00:00,RT-Labo Electronique 1,"

RT1Shannon1
RT1Shannon2
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-27 12:00:00+00:00,2021-09-27 14:00:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-14 07:15:00+00:00,2021-12-14 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-21 12:00:00+00:00,2021-09-21 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-07 07:15:00+00:00,2021-12-07 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-12 06:15:00+00:00,2021-10-12 08:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-12-17 09:15:00+00:00,2021-12-17 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-01 11:30:00+00:00,2021-10-01 15:30:00+00:00,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
DS TP Blanc Electronique,2021-12-03 12:30:00+00:00,2021-12-03 15:30:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-21 08:15:00+00:00,2021-09-21 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-14 08:15:00+00:00,2022-02-14 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-05 08:15:00+00:00,2021-10-05 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 07:15:00+00:00,2021-12-13 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
PPP,2021-10-25 14:00:00+00:00,2021-10-25 16:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-01 15:00:00+00:00,2021-12-01 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-01-28 09:15:00+00:00,2022-01-28 11:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-19 06:15:00+00:00,2021-10-19 08:15:00+00:00,RT-Salle-TD3,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-17 12:30:00+00:00,2022-02-17 15:30:00+00:00,RT-Labo Informatique 3,"

RT1App
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Anglais Technique,2022-02-08 07:15:00+00:00,2022-02-08 09:15:00+00:00,RT-Salle-TD1,"

TDBell
TDBell
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-18 09:15:00+00:00,2021-11-18 10:45:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-11-17 13:00:00+00:00,2021-11-17 15:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-08 11:30:00+00:00,2021-10-08 15:30:00+00:00,RT-Labo Informatique 3,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-29 08:15:00+00:00,2021-09-29 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-23 08:15:00+00:00,2021-11-23 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-17 07:15:00+00:00,2021-12-17 09:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-14 14:00:00+00:00,2021-09-14 16:00:00+00:00,RT-Salle-TD3,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-14 06:15:00+00:00,2021-10-14 08:15:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-03 13:00:00+00:00,2022-01-03 16:00:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-05 09:15:00+00:00,2022-01-05 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
TP Maintien de la disponibilité,2022-01-06 14:30:00+00:00,2022-01-06 16:30:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
BARANEK OLIVIER
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-01 13:30:00+00:00,2021-10-01 15:30:00+00:00,RT-Labo Informatique 3,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-18 09:15:00+00:00,2022-01-18 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-09 13:00:00+00:00,2021-11-09 15:00:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2021-12-13 07:15:00+00:00,2021-12-13 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2022-01-07 07:15:00+00:00,2022-01-07 08:45:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-08 08:15:00+00:00,2021-11-08 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-08 15:00:00+00:00,2021-11-08 17:00:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
PPP,2022-01-11 15:00:00+00:00,2022-01-11 17:00:00+00:00,RT-Salle Info CAO,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2022-01-11 12:30:00+00:00,2022-01-11 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-30 11:30:00+00:00,2021-09-30 13:30:00+00:00,RT-Labo Informatique 2,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Communication,2022-01-12 07:15:00+00:00,2022-01-12 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-18 09:15:00+00:00,2022-02-18 11:15:00+00:00,,"

RT1App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-19 07:15:00+00:00,2021-11-19 09:15:00+00:00,"RT-Labo Informatique 3,TEAMS","

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-05 07:15:00+00:00,2022-01-05 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-18 12:30:00+00:00,2021-11-18 14:30:00+00:00,RT-Salle Labo Visio,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-10 12:30:00+00:00,2021-12-10 16:30:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-01 06:15:00+00:00,2021-10-01 10:15:00+00:00,RT-Labo reseaux 1,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-04 12:00:00+00:00,2021-10-04 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-16 07:15:00+00:00,2021-11-16 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-09 07:15:00+00:00,2022-02-09 09:15:00+00:00,RT-Salle-TD2,"

RT1Turing
RT1Shannon1
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-27 08:15:00+00:00,2021-09-27 10:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
DS TP Initiation réseaux,2021-10-07 06:15:00+00:00,2021-10-07 10:15:00+00:00,RT-Labo reseaux 1,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-19 09:15:00+00:00,2021-11-19 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
DS TP Initiation réseaux,2021-10-08 06:15:00+00:00,2021-10-08 10:15:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-16 15:00:00+00:00,2021-11-16 17:00:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-07 07:15:00+00:00,2022-01-07 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-07 07:15:00+00:00,2022-02-07 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
CM Maintien de la disponibilité,2022-01-07 09:15:00+00:00,2022-01-07 11:15:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
EMERY FRANCK
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2021-12-16 07:15:00+00:00,2021-12-16 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-06 08:15:00+00:00,2021-10-06 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-10-26 08:15:00+00:00,2021-10-26 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-12-01 15:00:00+00:00,2021-12-01 17:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-14 13:00:00+00:00,2021-12-14 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-04 07:15:00+00:00,2022-02-04 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-09 08:15:00+00:00,2021-09-09 10:15:00+00:00,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2022-01-04 13:00:00+00:00,2022-01-04 17:00:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-15 13:00:00+00:00,2021-11-15 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-08 09:15:00+00:00,2022-02-08 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-22 11:30:00+00:00,2021-10-22 14:30:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-18 07:15:00+00:00,2021-11-18 09:15:00+00:00,"RT-Labo Informatique 1,TEAMS","

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
TP Hacking éthique,2021-12-16 07:15:00+00:00,2021-12-16 09:15:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
PPP,2021-11-22 15:00:00+00:00,2021-11-22 17:00:00+00:00,RT-Labo Informatique 2,"

RT2App
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2021-11-24 07:15:00+00:00,2021-11-24 11:15:00+00:00,RT-Labo reseaux 1,"

RT2Dijkstra
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-29 11:30:00+00:00,2021-10-29 15:30:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fi,2021-11-24 13:00:00+00:00,2021-11-24 15:00:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-28 06:15:00+00:00,2021-10-28 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-13 08:15:00+00:00,2021-10-13 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-14 08:15:00+00:00,2021-10-14 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-21 08:15:00+00:00,2022-01-21 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-15 08:15:00+00:00,2021-09-15 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2022-01-11 13:00:00+00:00,2022-01-11 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-09-17 06:15:00+00:00,2021-09-17 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-17 08:15:00+00:00,2021-09-17 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-07 12:00:00+00:00,2021-09-07 14:00:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2022-01-05 13:00:00+00:00,2022-01-05 17:00:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
TP Hacking éthique,2021-12-16 09:15:00+00:00,2021-12-16 11:15:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-15 13:00:00+00:00,2022-02-15 15:00:00+00:00,,"

RT1App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-06 08:15:00+00:00,2021-09-06 10:15:00+00:00,RT-Salle-TD3,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-10-18 14:00:00+00:00,2021-10-18 16:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-24 13:00:00+00:00,2021-11-24 15:00:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-26 08:15:00+00:00,2021-10-26 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
